date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:07:01	70206/70206	---M--	200	added ('OK')	image/webp	etag:W/%221123e-49773873e8%22	https://baseboomer.com/images/divider-dark.webp	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/divider-dark.webp	(from https://baseboomer.com/css/main.css)
04:07:02	2151/2151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22867-49773873e8%22	https://baseboomer.com/images/telegram.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/telegram.svg	(from https://baseboomer.com/css/main.css)
04:07:02	1231/1231	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224cf-49773873e8%22	https://baseboomer.com/images/twitterx.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/twitterx.svg	(from https://baseboomer.com/css/main.css)
04:07:03	1827/1827	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22723-49773873e8%22	https://baseboomer.com/images/tiktok.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/tiktok.svg	(from https://baseboomer.com/css/main.css)
04:07:03	3367/3367	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d27-49773873e8%22	https://baseboomer.com/images/instagram.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/instagram.svg	(from https://baseboomer.com/css/main.css)
04:07:04	1731/1731	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c3-49773873e8%22	https://baseboomer.com/images/youtube.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/youtube.svg	(from https://baseboomer.com/css/main.css)
04:07:05	1271/1271	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224f7-49773873e8%22	https://baseboomer.com/images/warpcast.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/warpcast.svg	(from https://baseboomer.com/css/main.css)
04:07:05	1938/1938	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22792-49773873e8%22	https://baseboomer.com/images/shopify.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/shopify.svg	(from https://baseboomer.com/css/main.css)
04:07:06	29743/29743	---M--	200	added ('OK')	image/png	etag:W/%22742f-49773873e8%22	https://baseboomer.com/images/dextools.png	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/dextools.png	(from https://baseboomer.com/css/main.css)
04:07:06	3099/3099	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c1b-49773873e8%22	https://baseboomer.com/images/phonemask.svg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/phonemask.svg	(from https://baseboomer.com/css/main.css)
04:07:07	682096/682096	---M--	200	added ('OK')	image/jpeg	etag:W/%22a6870-49773873e8%22	https://baseboomer.com/images/dballs.jpg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/dballs.jpg	(from https://baseboomer.com/balls)
04:07:07	385977/385977	---M--	200	added ('OK')	image/jpeg	etag:W/%225e3b9-49773873e8%22	https://baseboomer.com/images/dballsmobile.jpg	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/images/dballsmobile.jpg	(from https://baseboomer.com/balls)
04:07:09	7093/7093	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bb5-49773873e8%22	https://baseboomer.com/js/balls.js	C:/Users/TFC/Documents/bb%20clone/baseboomer.com/js/balls.js	(from https://baseboomer.com/balls)
